Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1440000,1.3924065,120.51219512195122,79.34379,209.09063755012141,209.09063755012141,1.0
1445000,1.3906296,111.78260869565217,73.9139,160.5874916807465,160.5874916807465,1.0
1450000,1.3903055,116.1951219512195,76.049706,219.1636139067208,219.1636139067208,1.0
1455000,1.3903055,127.0,78.412224,209.4246026705473,209.4246026705473,1.0
1460000,1.3903055,99.22,73.81944,146.61238094329835,146.61238094329835,1.0
1465000,1.3883771,121.7560975609756,80.737206,180.5902600957126,180.5902600957126,1.0
1470000,1.3878399,100.91836734693878,78.21865,155.94402033698802,155.94402033698802,1.0
1475000,1.3878398,101.0,77.45095,147.38461223792058,147.38461223792058,1.0
1480000,1.3878399,105.60416666666667,75.769516,138.6135504891475,138.6135504891475,1.0
1485000,1.3858908,134.13888888888889,79.5291,228.08072590827942,228.08072590827942,1.0
1490000,1.3851472,111.62222222222222,80.00468,184.40714190006256,184.40714190006256,1.0
1495000,1.3851471,109.91111111111111,77.877,159.88723152478536,159.88723152478536,1.0
1500000,1.3851471,129.31578947368422,81.31547,206.41217279120497,206.41217279120497,1.0
1505000,1.3839296,113.45454545454545,83.09404,181.1737336353822,181.1737336353822,1.0
1510000,1.3832018,114.6,84.252266,201.44018508087504,201.44018508087504,1.0
1515000,1.3832018,120.56410256410257,85.11141,199.67258353829385,199.67258353829385,1.0
1520000,1.3832018,115.56818181818181,80.41625,180.0294887152585,180.0294887152585,1.0
1525000,1.3809826,124.43589743589743,85.031654,222.863935366655,222.863935366655,1.0
1530000,1.379243,119.07142857142857,81.64087,193.72635803052358,193.72635803052358,1.0
1535000,1.3792429,134.7027027027027,84.862625,231.52821430644474,231.52821430644474,1.0
1540000,1.379243,122.475,89.12679,237.93396250009536,237.93396250009536,1.0
1545000,1.3785751,136.54054054054055,82.38414,216.0735857680037,216.0735857680037,1.0
1550000,1.3778628,118.53658536585365,82.65008,198.3802788722806,198.3802788722806,1.0
1555000,1.3778628,110.62222222222222,81.71335,175.15709560182358,175.15709560182358,1.0
1560000,1.3778629,114.34883720930233,77.73046,184.97700696767762,184.97700696767762,1.0
1565000,1.3780001,105.27659574468085,78.26422,170.73246475737145,170.73246475737145,1.0
1570000,1.378253,119.21428571428571,83.169624,223.3589936438061,223.3589936438061,1.0
1575000,1.378253,112.70454545454545,77.445915,183.91855685277417,183.91855685277417,1.0
1580000,1.378253,132.31578947368422,83.340775,258.291675498611,258.291675498611,1.0
1585000,1.377624,130.39473684210526,73.59183,198.73618079486647,198.73618079486647,1.0
1590000,1.3764801,116.14285714285714,77.769455,181.1249098777771,181.1249098777771,1.0
1595000,1.37648,131.07894736842104,85.70594,267.04952881210727,267.04952881210727,1.0
1600000,1.3764801,118.04761904761905,76.470924,219.2287072596096,219.2287072596096,1.0
1605000,1.3759186,112.43478260869566,75.729836,182.756978807242,182.756978807242,1.0
1610000,1.3748617,121.33333333333333,80.57557,242.89709557019748,242.89709557019748,1.0
1615000,1.3748617,109.8695652173913,77.31572,167.22462617055228,167.22462617055228,1.0
1620000,1.374862,140.65714285714284,87.0584,308.5598404339382,308.5598404339382,1.0
1625000,1.3747531,122.45,78.62659,199.69405449599753,199.69405449599753,1.0
